"fileName", "language", "Markdown", "JSON", "HTML", "CSS", "JavaScript", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\README.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\package-lock.json", "JSON", 0, 18761, 0, 0, 0, 0, 0, 0, 1, 18762
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\public\index.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 23, 3, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 4, 4, 30
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.test.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\ContextDrawer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 65, 0, 7, 72
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DimmedModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Footer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 21, 3, 6, 30
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Image.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 7, 0, 4, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\InRouteModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 30, 0, 4, 34
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Loading.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 21, 0, 6, 27
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\MainDrawer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 113, 1, 7, 121
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\MaterialUITable.js", "JavaScript", 0, 0, 0, 0, 352, 0, 0, 1, 27, 380
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 112, 0, 6, 118
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\SubNavbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 80, 1, 8, 89
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\Layout.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 0, 11, 101
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\UILayoutActions.js", "JavaScript", 0, 0, 0, 0, 193, 0, 0, 5, 9, 207
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\UserAction.js", "JavaScript", 0, 0, 0, 0, 110, 0, 0, 0, 13, 123
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\AuthMiddleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\LayoutMiddleware.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 2, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LayoutReducer.js", "JavaScript", 0, 0, 0, 0, 173, 0, 0, 7, 7, 187
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LoginReducer.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 2, 62
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UIState\UILayoutState.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 8, 23
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UserState\UserState.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Landing\LandingRoute.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 1, 6, 78
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Login\LoginRoute.js", "JavaScript", 0, 0, 0, 0, 134, 0, 0, 1, 7, 142
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProductBackground.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProtectedRoute.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\AuthService.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\BaseUrlService.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\HistoryService.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\IconsService.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\ToolTipService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Styles\LayoutStyles.js", "JavaScript", 0, 0, 0, 0, 216, 0, 0, 8, 6, 230
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Styles\SubNavbarStyles.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 3, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GetInitials.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\ImportCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 73, 12, 5, 90
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\VerticalWorkflowStepper.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 55, 0, 8, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\NotificationDialog.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 50, 7, 6, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\SimpleDialog.js", "JavaScript", 0, 0, 0, 0, 86, 0, 0, 3, 6, 95
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\DragAndDrop.svg", "XML", 0, 0, 0, 0, 0, 79, 0, 0, 1, 80
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ExistingDeck.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Import.svg", "XML", 0, 0, 0, 0, 0, 43, 0, 1, 1, 45
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ImportDatabase.svg", "XML", 0, 0, 0, 0, 0, 52, 0, 1, 2, 55
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\MSExcel.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Notepad.svg", "XML", 0, 0, 0, 0, 0, 50, 0, 1, 1, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\ImportActions.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\SetStepperActions.js", "JavaScript", 0, 0, 0, 0, 62, 0, 0, 0, 2, 64
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Reducers\InputReducer.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 2, 9, 101
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\State\ImportState.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputBackground.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputLayout.js", "JavaScript", 0, 0, 0, 0, 64, 0, 0, 0, 9, 73
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\EconomicsData\EconomicsLanding.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ExcelWorkflow\ ExcelWorkflow.js", "JavaScript", 0, 0, 0, 0, 159, 0, 0, 3, 9, 171
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ExcelWorkflow\ UploadFile.js", "JavaScript", 0, 0, 0, 0, 293, 0, 0, 1, 9, 303
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ExcelWorkflow\ ImportExcelPreview.js", "JavaScript", 0, 0, 0, 0, 154, 0, 0, 3, 14, 171
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ExcelWorkflow\ ImportExcelMatch.js", "JavaScript", 0, 0, 0, 0, 363, 0, 0, 13, 25, 401
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\InputLanding.js", "JavaScript", 0, 0, 0, 0, 116, 0, 0, 4, 11, 131
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportFaciltiesDeck.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 5, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ForecastDeck\ImportForecastLanding.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 2, 6, 82
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ProductionData\ProductionLanding.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\ContextDrawerContentService.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileIconService.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileSizeService.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Common\NetworkLayout.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Images\Pipeline.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Network.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualization\Common\VisualyticsLayout.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\index.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\index.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 3, 6, 48
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\serviceWorker.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 31, 13, 142
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 37, 18839, 18, 15, 3463, 259, 654, 149, 419, 23853